,,,CROP,,,,,,,,,,,,,
Fertilizer,Wheat,Corn,Soy,Rice,,,,,,,,,,,,
BlendX,123,128,166,151,,,,,,,,,,,,
,156,150,175,125,,,,,,,,,,,,
,112,174,187,117,,,,,,,,,,,,
,100,116,153,155,,Anova: Two-Factor With Replication,,,,,,,,,,
,168,109,195,158,,,,,,,,,,,,
BlendY,135,175,140,167,,SUMMARY,Wheat,Corn,Soy,Rice,Total,,,,,
,130,132,145,183,,BlendX,,,,,,,,,,
,176,120,159,142,,Count,5,5,5,5,20,,,,,
,120,187,131,167,,Sum,659,677,876,706,2918,,,,,
,155,184,126,168,,Average,131.8,135.4,175.2,141.2,145.9,,,,,
BlendZ,156,186,185,175,,Variance,844.2,707.8,277.2,354.2,772.7263158,,,,,
,180,138,206,173,,,,,,,,,,,,
,147,178,188,154,,BlendY,,,,,,,,,,
,146,176,165,191,,Count,5,5,5,5,20,,,,,
,193,190,188,169,,Sum,716,798,701,827,3042,,,,,
,,,,,,Average,143.2,159.6,140.2,165.4,152.1,,,,,
,,,,,,Variance,498.7,978.3,165.7,217.3,511.0421053,,,,,
,,,,,,,,,,,,,,,,
,,,,,,BlendZ,,,,,,,,,,
,,,,,,Count,5,5,5,5,20,,,,,
,,,,,,Sum,822,868,932,862,3484,,,,,
,,,,,,Average,164.4,173.6,186.4,172.4,174.2,,,,,
,,,,,,Variance,443.3,428.8,212.3,175.8,330.6947368,,,,,
,,,,,,,,,,,,,,Alpha=0.05,,
,,,,,,Total,,,,,,,,,,
,,,,,,Count,15,15,15,15,,,,,,
,,,,,,Sum,2197,2343,2509,2395,,,,,,
,,,,,,Average,146.4666667,156.2,167.2666667,159.6666667,,,,,,
,,,,,,Variance,705.8380952,871.0285714,602.0666667,404.952381,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,ANOVA,,,,,,,,,,
,,,,,,Source of Variation,SS,df,MS,F,P-value,F crit,,,,
,,,,,,Sample,8851.6,2,4425.8,10.01387737,0.000231912,3.190727336,,F>Fcrit =H01: rejected,,
,,,,,,Columns,3352,3,1117.333333,2.528094125,0.068369907,2.798060635,,F<Fcrit=H02:failed to reject,,
,,,,,,Interaction,6108.4,6,1018.066667,2.303491968,0.049218789,2.294601313,,F>Fcriti=H03:rejected,,
,,,,,,Within,21214.4,48,441.9666667,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Total,39526.4,59,,,,,,,,
